Code,SubjectPaperName,Type,date,max_number,marked_actual,ExamDate,Awarding,start_date,end_date,marked_prediction,pred_dif_tot,pred_dif_pc,level,level_code
1811/01,STATISTICAL PROBLM SOLVIN-INTERNAL COMPONENT1 CONTROLLED,,29/05/2019,33,33,,09/07/2019,21714,21735,0,33,100,VQ,3
1811/01,STATISTICAL PROBLM SOLVIN-INTERNAL COMPONENT1 CONTROLLED,,30/05/2019,33,33,,09/07/2019,21714,21735,0,33,100,VQ,3
1811/01,STATISTICAL PROBLM SOLVIN-INTERNAL COMPONENT1 CONTROLLED,,03/06/2019,33,33,,09/07/2019,21714,21735,0,33,100,VQ,3
1811/01,STATISTICAL PROBLM SOLVIN-INTERNAL COMPONENT1 CONTROLLED,,04/06/2019,33,33,,09/07/2019,21714,21735,0,33,100,VQ,3
1812/01,STATISTICAL PROBLM SOLVIN-EXTERNAL COMPONENT 2 PAPER,,29/05/2019,33,0,23/05/2019,09/07/2019,21701,21735,0,0,0,VQ,3
1812/01,STATISTICAL PROBLM SOLVIN-EXTERNAL COMPONENT 2 PAPER,,30/05/2019,33,0,23/05/2019,09/07/2019,21701,21735,0,0,0,VQ,3
1812/01,STATISTICAL PROBLM SOLVIN-EXTERNAL COMPONENT 2 PAPER,,03/06/2019,33,0,23/05/2019,09/07/2019,21701,21735,2,-2,-6.060606,VQ,3
1812/01,STATISTICAL PROBLM SOLVIN-EXTERNAL COMPONENT 2 PAPER,,04/06/2019,33,0,23/05/2019,09/07/2019,21701,21735,3,-3,-9.090909,VQ,3
1831/51,MEDICAL SCIENCE UNIT 1 UNED 1 PAPUR,,29/05/2019,52,0,20/05/2019,11/07/2019,21698,21737,0,0,0,VQ,3
1831/51,MEDICAL SCIENCE UNIT 1 UNED 1 PAPUR,,30/05/2019,52,13,20/05/2019,11/07/2019,21698,21737,1,12,23.076923,VQ,3
1831/51,MEDICAL SCIENCE UNIT 1 UNED 1 PAPUR,,03/06/2019,52,13,20/05/2019,11/07/2019,21698,21737,7,6,11.538462,VQ,3
1831/51,MEDICAL SCIENCE UNIT 1 UNED 1 PAPUR,,04/06/2019,52,13,20/05/2019,11/07/2019,21698,21737,8,5,9.6153851,VQ,3
1835/51,MEDICAL SCIENCE UNIT 5 UNED5 ALLANOLASEINIAD,,29/05/2019,22,0,15/05/2019,11/07/2019,21693,21737,3,-3,-13.636364,VQ,3
1835/51,MEDICAL SCIENCE UNIT 5 UNED5 ALLANOLASEINIAD,,30/05/2019,22,0,15/05/2019,11/07/2019,21693,21737,3,-3,-13.636364,VQ,3
1835/51,MEDICAL SCIENCE UNIT 5 UNED5 ALLANOLASEINIAD,,03/06/2019,22,0,15/05/2019,11/07/2019,21693,21737,5,-5,-22.727272,VQ,3
1835/51,MEDICAL SCIENCE UNIT 5 UNED5 ALLANOLASEINIAD,,04/06/2019,22,0,15/05/2019,11/07/2019,21693,21737,6,-6,-27.272728,VQ,3
1836/51,MEDICAL SCIENCE UNIT 6 UNED 6 PAPUR,,29/05/2019,22,0,23/05/2019,11/07/2019,21701,21737,0,0,0,VQ,3
1836/51,MEDICAL SCIENCE UNIT 6 UNED 6 PAPUR,,30/05/2019,22,0,23/05/2019,11/07/2019,21701,21737,0,0,0,VQ,3
1836/51,MEDICAL SCIENCE UNIT 6 UNED 6 PAPUR,,03/06/2019,22,0,23/05/2019,11/07/2019,21701,21737,1,-1,-4.5454545,VQ,3
1836/51,MEDICAL SCIENCE UNIT 6 UNED 6 PAPUR,,04/06/2019,22,3,23/05/2019,11/07/2019,21701,21737,2,1,4.5454545,VQ,3
1831/01,MEDICAL SCIENCE UNIT 1 UNIT 1 PAPER,,29/05/2019,724,0,20/05/2019,11/07/2019,21698,21737,0,0,0,VQ,3
1831/01,MEDICAL SCIENCE UNIT 1 UNIT 1 PAPER,,30/05/2019,724,61,20/05/2019,11/07/2019,21698,21737,19,42,5.801105,VQ,3
1831/01,MEDICAL SCIENCE UNIT 1 UNIT 1 PAPER,,03/06/2019,724,287,20/05/2019,11/07/2019,21698,21737,93,194,26.79558,VQ,3
1831/01,MEDICAL SCIENCE UNIT 1 UNIT 1 PAPER,,04/06/2019,724,287,20/05/2019,11/07/2019,21698,21737,111,176,24.309393,VQ,3
1832/01,MEDICAL SCIENCE UNIT 2 UNIT 2 CONTROLLED,,29/05/2019,614,614,,11/07/2019,21716,21737,0,614,100,VQ,3
1832/01,MEDICAL SCIENCE UNIT 2 UNIT 2 CONTROLLED,,30/05/2019,614,614,,11/07/2019,21716,21737,0,614,100,VQ,3
1832/01,MEDICAL SCIENCE UNIT 2 UNIT 2 CONTROLLED,,03/06/2019,614,614,,11/07/2019,21716,21737,0,614,100,VQ,3
1832/01,MEDICAL SCIENCE UNIT 2 UNIT 2 CONTROLLED,,04/06/2019,614,614,,11/07/2019,21716,21737,0,614,100,VQ,3
1833/01,MEDICAL SCIENCE UNIT 3 UNIT 3 CONTROLLED,,29/05/2019,647,647,,11/07/2019,21716,21737,0,647,100,VQ,3
1833/01,MEDICAL SCIENCE UNIT 3 UNIT 3 CONTROLLED,,30/05/2019,647,647,,11/07/2019,21716,21737,0,647,100,VQ,3
1833/01,MEDICAL SCIENCE UNIT 3 UNIT 3 CONTROLLED,,03/06/2019,647,647,,11/07/2019,21716,21737,0,647,100,VQ,3
1833/01,MEDICAL SCIENCE UNIT 3 UNIT 3 CONTROLLED,,04/06/2019,647,647,,11/07/2019,21716,21737,0,647,100,VQ,3
1834/01,MEDICAL SCIENCE UNIT 4 UNIT 4 CONTROLLED,,29/05/2019,377,377,,11/07/2019,21716,21737,0,377,100,VQ,3
1834/01,MEDICAL SCIENCE UNIT 4 UNIT 4 CONTROLLED,,30/05/2019,377,377,,11/07/2019,21716,21737,0,377,100,VQ,3
1834/01,MEDICAL SCIENCE UNIT 4 UNIT 4 CONTROLLED,,03/06/2019,377,377,,11/07/2019,21716,21737,0,377,100,VQ,3
1834/01,MEDICAL SCIENCE UNIT 4 UNIT 4 CONTROLLED,,04/06/2019,377,377,,11/07/2019,21716,21737,0,377,100,VQ,3
1835/01,MEDICAL SCIENCE UNIT 5 UNIT5 EXT. ASSIGNMENT,,29/05/2019,364,0,15/05/2019,11/07/2019,21693,21737,41,-41,-11.263737,VQ,3
1835/01,MEDICAL SCIENCE UNIT 5 UNIT5 EXT. ASSIGNMENT,,30/05/2019,364,0,15/05/2019,11/07/2019,21693,21737,50,-50,-13.736263,VQ,3
1835/01,MEDICAL SCIENCE UNIT 5 UNIT5 EXT. ASSIGNMENT,,03/06/2019,364,0,15/05/2019,11/07/2019,21693,21737,83,-83,-22.802198,VQ,3
1835/01,MEDICAL SCIENCE UNIT 5 UNIT5 EXT. ASSIGNMENT,,04/06/2019,364,0,15/05/2019,11/07/2019,21693,21737,91,-91,-25,VQ,3
1836/01,MEDICAL SCIENCE UNIT 6 UNIT 6 PAPER,,29/05/2019,363,0,23/05/2019,11/07/2019,21701,21737,0,0,0,VQ,3
1836/01,MEDICAL SCIENCE UNIT 6 UNIT 6 PAPER,,30/05/2019,363,0,23/05/2019,11/07/2019,21701,21737,0,0,0,VQ,3
1836/01,MEDICAL SCIENCE UNIT 6 UNIT 6 PAPER,,03/06/2019,363,0,23/05/2019,11/07/2019,21701,21737,20,-20,-5.5096416,VQ,3
1836/01,MEDICAL SCIENCE UNIT 6 UNIT 6 PAPER,,04/06/2019,363,0,23/05/2019,11/07/2019,21701,21737,30,-30,-8.2644625,VQ,3
1802/51,ENVIRONMENTAL SCIENCE UNIT 2 UNED2 ALLANOLASEINIAD,,29/05/2019,7,0,15/05/2019,15/07/2019,21696,21741,0,0,0,VQ,3
1802/51,ENVIRONMENTAL SCIENCE UNIT 2 UNED2 ALLANOLASEINIAD,,30/05/2019,7,0,15/05/2019,15/07/2019,21696,21741,0,0,0,VQ,3
1802/51,ENVIRONMENTAL SCIENCE UNIT 2 UNED2 ALLANOLASEINIAD,,03/06/2019,7,0,15/05/2019,15/07/2019,21696,21741,1,-1,-14.285714,VQ,3
1802/51,ENVIRONMENTAL SCIENCE UNIT 2 UNED2 ALLANOLASEINIAD,,04/06/2019,7,0,15/05/2019,15/07/2019,21696,21741,1,-1,-14.285714,VQ,3
1804/51,ENVIRONMENTAL SCIENCE UNIT 4 UNED 4 PAPUR,,29/05/2019,7,0,11/06/2019,15/07/2019,21720,21741,0,0,0,VQ,3
1804/51,ENVIRONMENTAL SCIENCE UNIT 4 UNED 4 PAPUR,,30/05/2019,7,0,11/06/2019,15/07/2019,21720,21741,0,0,0,VQ,3
1804/51,ENVIRONMENTAL SCIENCE UNIT 4 UNED 4 PAPUR,,03/06/2019,7,0,11/06/2019,15/07/2019,21720,21741,0,0,0,VQ,3
1804/51,ENVIRONMENTAL SCIENCE UNIT 4 UNED 4 PAPUR,,04/06/2019,7,0,11/06/2019,15/07/2019,21720,21741,0,0,0,VQ,3
1801/01,ENVIRONMENTAL SCIENCE UNIT 1 UNIT 1 CONTROLLED,,29/05/2019,71,71,,15/07/2019,21720,21741,0,71,100,VQ,3
1801/01,ENVIRONMENTAL SCIENCE UNIT 1 UNIT 1 CONTROLLED,,30/05/2019,71,71,,15/07/2019,21720,21741,0,71,100,VQ,3
1801/01,ENVIRONMENTAL SCIENCE UNIT 1 UNIT 1 CONTROLLED,,03/06/2019,71,71,,15/07/2019,21720,21741,0,71,100,VQ,3
