Qual,Mark_In,Centre,PA_Flag,Awarding,percent_Marked_IPA,percent_Marked_EPA,date,dup,level,marked_prediction,pred_dif_tot,pred_dif_pc,level_code
1114,4,4,4,01/07/2019,100,100,20/05/2019,0,GCE,1,3,75,2
1114,4,4,4,01/07/2019,100,100,21/05/2019,0,GCE,1,3,75,2
1114,4,4,4,01/07/2019,100,100,22/05/2019,0,GCE,1,3,75,2
1114,4,4,4,01/07/2019,100,100,23/05/2019,0,GCE,1,3,75,2
1114,4,4,4,01/07/2019,100,100,24/05/2019,0,GCE,1,3,75,2
1114,4,4,4,01/07/2019,100,100,29/05/2019,0,GCE,1,3,75,2
1114,4,4,4,01/07/2019,100,100,30/05/2019,0,GCE,2,2,50,2
1114,4,4,4,01/07/2019,100,100,31/05/2019,0,GCE,2,2,50,2
1114,4,4,4,01/07/2019,100,100,03/06/2019,0,GCE,2,2,50,2
1114,4,4,4,01/07/2019,100,100,04/06/2019,0,GCE,2,2,50,2
1181,2,2,2,,100,100,20/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,21/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,22/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,23/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,24/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,29/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,30/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,31/05/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,03/06/2019,0,GCE,2,0,0,2
1181,2,2,2,,100,100,04/06/2019,0,GCE,2,0,0,2
1183,3,3,3,01/07/2019,100,100,20/05/2019,0,GCE,0,3,100,2
1183,3,3,3,01/07/2019,100,100,21/05/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,22/05/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,23/05/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,24/05/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,29/05/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,30/05/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,31/05/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,03/06/2019,0,GCE,1,2,66.666664,2
1183,3,3,3,01/07/2019,100,100,04/06/2019,0,GCE,1,2,66.666664,2
1242,2,2,2,,100,100,20/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,21/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,22/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,23/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,24/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,29/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,30/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,31/05/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,03/06/2019,0,GCE,2,0,0,2
1242,2,2,2,,100,100,04/06/2019,0,GCE,2,0,0,2
1244,2,2,2,28/06/2019,100,100,20/05/2019,0,GCE,0,2,100,2
1244,2,2,2,28/06/2019,100,100,21/05/2019,0,GCE,0,2,100,2
1244,2,2,2,28/06/2019,100,100,22/05/2019,0,GCE,1,1,50,2
1244,2,2,2,28/06/2019,100,100,23/05/2019,0,GCE,1,1,50,2
1244,2,2,2,28/06/2019,100,100,24/05/2019,0,GCE,1,1,50,2
1244,2,2,2,28/06/2019,100,100,29/05/2019,0,GCE,1,1,50,2
1244,2,2,2,28/06/2019,100,100,30/05/2019,0,GCE,1,1,50,2
1244,2,2,2,28/06/2019,100,100,31/05/2019,0,GCE,1,1,50,2
1244,2,2,2,28/06/2019,100,100,03/06/2019,0,GCE,1,1,50,2
1244,2,2,2,28/06/2019,100,100,04/06/2019,0,GCE,1,1,50,2
1292,3,3,3,,100,100,20/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,21/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,22/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,23/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,24/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,29/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,30/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,31/05/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,03/06/2019,0,GCE,3,0,0,2
1292,3,3,3,,100,100,04/06/2019,0,GCE,3,0,0,2
1293,8,8,8,04/07/2019,100,100,20/05/2019,0,GCE,1,7,87.5,2
