Code,Qual,qual_level
1114/01,1114,2
1181/01,1181,2
1183/01,1183,2
1242/01,1242,2
1244/01,1244,2
1292/01,1292,2
1293/01,1293,2
1622/01,1622,2
1623/01,1623,2
1624/01,1624,2
1629/01,1629,2
1630/01,1630,2
1631/01,1631,2
1632/01,1632,2
1682/01,1682,2
1688/01,1688,2
2006/51,2006,2
2025/01,2025,2
2026/01,2026,2
2106/05,2106,2
2106/54,2106,2
2106/01,2106,2
2106/03,2106,2
2106/06,2106,2
2106/51,2106,2
2106/53,2106,2
2106/07,2106,2
2106/04,2106,2
2106/52,2106,2
2106/58,2106,2
2106/08,2106,2
2106/57,2106,2
2106/02,2106,2
2109/01,2109,2
2119/01,2119,2
2127/53,2127,2
2127/54,2127,2
2127/04,2127,2
2127/51,2127,2
2127/03,2127,2
2127/01,2127,2
2127/02,2127,2
2127/55,2127,2
2127/52,2127,2
2127/06,2127,2
2127/05,2127,2
2128/01,2128,2
2128/51,2128,2
2129/01,2129,2
2129/51,2129,2
2205/01,2205,2
2205/51,2205,2
2206/51,2206,2
2206/01,2206,2
2405/51,2405,2
2405/01,2405,2
2406/01,2406,2
2406/51,2406,2
2509/01,2509,2
2532/01,2532,2
2534/01,2534,2
2537/01,2537,2
2538/01,2538,2
2539/01,2539,2
2556/01,2556,2
2558/01,2558,2
2606/01,2606,2
2608/01,2608,2
2616/01,2616,2
2618/01,2618,2
2626/01,2626,2
2628/01,2628,2
2665/51,2665,2
2665/01,2665,2
2668/02,2668,2
2668/52,2668,2
2668/51,2668,2
2668/01,2668,2
2670/01,2670,2
2686/01,2686,2
2688/01,2688,2
2695/01,2695,2
2697/01,2697,2
2697/51,2697,2
2709/01,2709,2
2719/01,2719,2
2729/01,2729,2
2807/51,2807,2
2807/01,2807,2
3000/53,3000,1
3000/51,3000,1
3000/52,3000,1
3014/52,3014,1
3014/51,3014,1
3015/51,3015,1
3022/01,3022,1
3023/01,3023,1
3024/01,3024,1
3025/01,3025,1
3105/01,3105,1
3110/01,3110,1
3110/52,3110,1
3110/03,3110,1
3110/53,3110,1
3110/02,3110,1
3110/51,3110,1
3300/03,3300,1
3300/02,3300,1
3300/54,3300,1
3300/56,3300,1
3300/06,3300,1
3300/52,3300,1
3300/05,3300,1
3300/01,3300,1
3300/04,3300,1
3300/51,3300,1
3300/53,3300,1
3300/55,3300,1
3310/02,3310,1
3310/06,3310,1
3310/03,3310,1
3310/56,3310,1
3310/51,3310,1
3310/05,3310,1
3310/52,3310,1
3310/54,3310,1
3310/04,3310,1
3310/55,3310,1
3310/53,3310,1
3310/01,3310,1
3402/51,3402,1
3402/52,3402,1
3402/01,3402,1
3402/02,3402,1
3404/01,3404,1
3404/51,3404,1
3411/52,3411,1
3411/01,3411,1
3411/51,3411,1
3411/02,3411,1
3413/51,3413,1
3413/01,3413,1
3421/01,3421,1
3421/02,3421,1
3421/52,3421,1
3421/51,3421,1
3423/01,3423,1
3423/51,3423,1
3432/52,3432,1
3432/51,3432,1
3432/02,3432,1
3432/01,3432,1
3433/51,3433,1
3433/01,3433,1
3433/02,3433,1
3433/52,3433,1
3434/01,3434,1
3434/02,3434,1
3434/51,3434,1
3434/52,3434,1
3435/01,3435,1
3435/51,3435,1
3435/02,3435,1
3435/52,3435,1
3436/01,3436,1
3436/51,3436,1
3436/52,3436,1
3436/02,3436,1
3437/51,3437,1
3437/01,3437,1
3441/01,3441,1
3441/51,3441,1
3441/02,3441,1
3442/02,3442,1
3442/51,3442,1
3442/01,3442,1
3443/02,3443,1
3443/51,3443,1
3443/01,3443,1
3444/01,3444,1
3444/51,3444,1
3500/52,3500,1
3500/02,3500,1
3500/03,3500,1
3500/01,3500,1
3500/51,3500,1
3550/01,3550,1
3550/51,3550,1
3551/02,3551,1
3551/01,3551,1
3551/51,3551,1
3555/51,3555,1
3555/01,3555,1
3555/02,3555,1
3560/01,3560,1
3560/02,3560,1
3560/51,3560,1
3603/01,3603,1
3603/51,3603,1
3603/02,3603,1
3604/51,3604,1
3604/02,3604,1
3604/01,3604,1
3605/02,3605,1
3605/01,3605,1
3605/51,3605,1
3650/02,3650,1
3650/01,3650,1
3651/02,3651,1
3651/01,3651,1
3653/01,3653,1
3653/02,3653,1
3654/01,3654,1
3654/02,3654,1
3655/01,3655,1
3655/02,3655,1
3656/02,3656,1
